기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액
202203,11110515,청운효자동,CS100001,한식음식점,2597909416
202203,11110515,청운효자동,CS100002,중식음식점,275936166
202203,11110515,청운효자동,CS100003,일식음식점,281535566
202203,11110515,청운효자동,CS100004,양식음식점,2409070060
202203,11110515,청운효자동,CS100005,제과점,684535571
202203,11110515,청운효자동,CS100006,패스트푸드점,26564107
202203,11110515,청운효자동,CS100007,치킨전문점,60124944
202203,11110515,청운효자동,CS100008,분식전문점,53601082
202203,11110515,청운효자동,CS100009,호프-간이주점,178439592
202203,11110515,청운효자동,CS100010,커피-음료,4265307664
202203,11110515,청운효자동,CS200001,일반교습학원,339723036
202203,11110515,청운효자동,CS200003,예술학원,88001385
202203,11110515,청운효자동,CS200005,스포츠 강습,65694749
202203,11110515,청운효자동,CS200006,일반의원,421124099
202203,11110515,청운효자동,CS200007,치과의원,215335281
202203,11110515,청운효자동,CS200026,자동차미용,139725151
202203,11110515,청운효자동,CS200028,미용실,209121742
202203,11110515,청운효자동,CS200030,피부관리실,33689234
202203,11110515,청운효자동,CS200031,세탁소,59770757
202203,11110515,청운효자동,CS200032,가전제품수리,7676742
202203,11110515,청운효자동,CS200033,부동산중개업,10167
202203,11110515,청운효자동,CS300001,슈퍼마켓,2137716183
202203,11110515,청운효자동,CS300002,편의점,1202573186
202203,11110515,청운효자동,CS300006,미곡판매,19858020
202203,11110515,청운효자동,CS300007,육류판매,69348924
202203,11110515,청운효자동,CS300008,수산물판매,111778803
202203,11110515,청운효자동,CS300009,청과상,607534036
202203,11110515,청운효자동,CS300010,반찬가게,222392977
202203,11110515,청운효자동,CS300011,일반의류,256779551
202203,11110515,청운효자동,CS300014,신발,24000000
202203,11110515,청운효자동,CS300018,의약품,1022990587
202203,11110515,청운효자동,CS300020,서적,4216877548
202203,11110515,청운효자동,CS300021,문구,4068951
202203,11110515,청운효자동,CS300027,섬유제품,34243745
202203,11110515,청운효자동,CS300028,화초,563017712
202203,11110515,청운효자동,CS300033,철물점,97840299
202203,11110515,청운효자동,CS300035,인테리어,184118719
202203,11110530,사직동,CS100001,한식음식점,24690402750
202203,11110530,사직동,CS100002,중식음식점,2087688189
202203,11110530,사직동,CS100003,일식음식점,3924925738
202203,11110530,사직동,CS100004,양식음식점,3440677225
202203,11110530,사직동,CS100005,제과점,1051042733
202203,11110530,사직동,CS100006,패스트푸드점,1004979094
202203,11110530,사직동,CS100007,치킨전문점,241305568
202203,11110530,사직동,CS100008,분식전문점,2328886922
202203,11110530,사직동,CS100009,호프-간이주점,3530708389
202203,11110530,사직동,CS100010,커피-음료,8502200990
202203,11110530,사직동,CS200001,일반교습학원,478295855
202203,11110530,사직동,CS200003,예술학원,242491102
202203,11110530,사직동,CS200005,스포츠 강습,514270748
202203,11110530,사직동,CS200006,일반의원,1770297466
202203,11110530,사직동,CS200007,치과의원,1618243460
202203,11110530,사직동,CS200008,한의원,736404753
202203,11110530,사직동,CS200016,당구장,32850148
202203,11110530,사직동,CS200024,스포츠클럽,1589435798
202203,11110530,사직동,CS200025,자동차수리,313354403
202203,11110530,사직동,CS200028,미용실,416072269
202203,11110530,사직동,CS200029,네일숍,82249991
202203,11110530,사직동,CS200030,피부관리실,62059323
202203,11110530,사직동,CS200031,세탁소,54146255
202203,11110530,사직동,CS200034,여관,24959731
202203,11110530,사직동,CS200037,노래방,81545873
202203,11110530,사직동,CS300001,슈퍼마켓,3317135528
202203,11110530,사직동,CS300002,편의점,3761850443
202203,11110530,사직동,CS300004,핸드폰,28753064
202203,11110530,사직동,CS300006,미곡판매,220897444
202203,11110530,사직동,CS300007,육류판매,990869998
202203,11110530,사직동,CS300009,청과상,192622397
202203,11110530,사직동,CS300010,반찬가게,738952067
202203,11110530,사직동,CS300011,일반의류,575051846
202203,11110530,사직동,CS300015,가방,24000000
202203,11110530,사직동,CS300016,안경,175651366
202203,11110530,사직동,CS300017,시계및귀금속,31361166
202203,11110530,사직동,CS300018,의약품,458126860
202203,11110530,사직동,CS300019,의료기기,1269440655
202203,11110530,사직동,CS300020,서적,112405480
202203,11110530,사직동,CS300021,문구,1400059762
202203,11110530,사직동,CS300022,화장품,979954734
202203,11110530,사직동,CS300028,화초,288239621
202203,11110530,사직동,CS300032,가전제품,45449567
202203,11110540,삼청동,CS100001,한식음식점,4997076676
202203,11110540,삼청동,CS100003,일식음식점,26928617
202203,11110540,삼청동,CS100004,양식음식점,2923645413
202203,11110540,삼청동,CS100005,제과점,610844173
202203,11110540,삼청동,CS100006,패스트푸드점,7462031
