연번,호선,고유역번호(외부역코드),역명,연월,승하차인원수
1,1,150,서울역(1),2301,2744112
2,1,151,시청(1),2301,1301470
3,1,152,종각,2301,1994694
4,1,153,종로3가(1),2301,1393482
5,1,154,종로5가,2301,1284077
6,1,155,동대문(1),2301,619688
7,1,156,신설동(1),2301,716907
8,1,157,제기동,2301,997970
9,1,158,청량리,2301,1107272
10,1,159,동묘앞(1),2301,511179
11,2,201,시청(2),2301,1244235
12,2,202,을지로입구,2301,2418404
13,2,203,을지로3가(2),2301,1248107
14,2,204,을지로4가(2),2301,704208
15,2,205,동대문역사문화공원(2),2301,793933
16,2,206,신당(2),2301,781872
17,2,207,상왕십리,2301,748469
18,2,208,왕십리(2),2301,812699
19,2,209,한양대,2301,411544
20,2,210,뚝섬,2301,1217612
21,2,211,성수,2301,2160822
22,2,212,건대입구(2),2301,2121801
23,2,213,구의,2301,1278469
24,2,214,강변,2301,1742524
25,2,215,잠실나루,2301,744733
26,2,216,잠실(2),2301,4239427
27,2,217,잠실새내,2301,1212897
28,2,218,종합운동장(2),2301,426837
29,2,219,삼성,2301,2819331
30,2,220,선릉,2301,2686553
31,2,221,역삼,2301,2822986
32,2,222,강남,2301,4378093
33,2,223,교대(2),2301,1815479
34,2,224,서초,2301,1126546
35,2,225,방배,2301,850231
36,2,226,사당(2),2301,2250686
37,2,227,낙성대,2301,1461852
38,2,228,서울대입구,2301,2508196
39,2,229,봉천,2301,1256148
40,2,230,신림,2301,3089789
41,2,231,신대방,2301,1367260
42,2,232,구로디지털단지,2301,3108286
43,2,233,대림(2),2301,1341365
44,2,234,신도림,2301,2681880
45,2,235,문래,2301,1146146
46,2,236,영등포구청(2),2301,1155466
47,2,237,당산,2301,1019334
48,2,238,합정(2),2301,1866842
49,2,239,홍대입구,2301,3879342
50,2,240,신촌,2301,1991673
51,2,241,이대,2301,768544
52,2,242,아현,2301,545605
53,2,243,충정로(2),2301,533262
54,2,244,용답,2301,158314
55,2,245,신답,2301,96216
56,2,246,신설동(2),2301,204294
57,2,247,도림천,2301,72682
58,2,248,양천구청,2301,376280
59,2,249,신정네거리,2301,566106
60,2,250,용두,2301,134197
61,3,309,지축,2301,318883
62,3,310,구파발,2301,1105120
63,3,311,연신내(3),2301,1853123
64,3,312,불광(3),2301,898560
65,3,313,녹번,2301,783351
66,3,314,홍제,2301,919213
67,3,315,무악재,2301,228594
68,3,316,독립문,2301,382104
69,3,317,경복궁,2301,1160291
70,3,318,안국,2301,1299945
71,3,319,종로3가(3),2301,576176
72,3,320,을지로3가(3),2301,580849
73,3,322,동대입구,2301,472740
74,3,323,약수(3),2301,682187
75,3,324,금호,2301,418563
76,3,325,옥수,2301,492197
77,3,326,압구정,2301,1827251
78,3,327,신사,2301,1623659
79,3,328,잠원,2301,246149
80,3,329,고속터미널(3),2301,2709881
81,3,330,교대(3),2301,614818
82,3,331,남부터미널,2301,1663148
83,3,332,양재,2301,2006143
84,3,333,매봉,2301,624479
85,3,334,도곡,2301,263062
86,3,335,대치,2301,666658
87,3,336,학여울,2301,113899
88,3,337,대청,2301,515709
89,3,338,일원,2301,539121
90,3,339,수서,2301,1012018
91,3,340,가락시장(3),2301,487356
92,3,341,경찰병원,2301,393041
93,3,342,오금(3),2301,317031
94,4,409,당고개,2301,476754
95,4,410,상계,2301,982582
96,4,411,노원(4),2301,1110471
97,4,412,창동,2301,1404126
98,4,413,쌍문,2301,1508852
99,4,414,수유,2301,1855227
100,4,415,미아,2301,777627
101,4,416,미아사거리,2301,1442505
102,4,417,길음,2301,1085054
103,4,418,성신여대입구,2301,1073630
104,4,419,한성대입구,2301,680470
105,4,420,혜화,2301,1912350
106,4,421,동대문(4),2301,969058
107,4,422,동대문역사문화공원(4),2301,875175
108,4,423,충무로(4),2301,1355816
109,4,424,명동,2301,1424616
110,4,425,회현,2301,1279907
111,4,426,서울역(4),2301,858718
112,4,427,숙대입구,2301,698552
113,4,428,삼각지(4),2301,343051
114,4,429,신용산,2301,1021446
115,4,430,이촌,2301,549515
116,4,431,동작,2301,97521
117,4,432,이수(총신대입구),2301,1067254
118,4,433,사당(4),2301,1357897
119,4,434,남태령,2301,67818
120,5,2511,방화,2301,356845
121,5,2512,개화산,2301,298364
122,5,2513,김포공항(5),2301,444091
123,5,2514,송정,2301,340926
124,5,2515,마곡,2301,562682
125,5,2516,발산,2301,1143504
126,5,2517,우장산,2301,756913
127,5,2518,화곡,2301,1484247
128,5,2519,까치산(5),2301,1525522
129,5,2520,신정,2301,660655
130,5,2521,목동,2301,906237
131,5,2522,오목교,2301,1195550
132,5,2523,양평(5),2301,382626
133,5,2524,영등포구청(5),2301,227050
134,5,2525,영등포시장,2301,588351
135,5,2526,신길(5),2301,235608
136,5,2527,여의도(5),2301,1520454
137,5,2528,여의나루,2301,578474
138,5,2529,마포,2301,757019
139,5,2530,공덕(5),2301,749411
140,5,2531,애오개,2301,349662
141,5,2532,충정로(5),2301,232651
142,5,2533,서대문,2301,969536
143,5,2534,광화문,2301,1699444
144,5,2535,종로3가(5),2301,777331
145,5,2536,을지로4가(5),2301,329298
146,5,2537,동대문역사문화공원(5),2301,176831
147,5,2538,청구(5),2301,197332
148,5,2539,신금호,2301,339455
149,5,2540,행당,2301,409537
150,5,2541,왕십리(5),2301,268167
151,5,2542,마장,2301,310222
152,5,2543,답십리,2301,851383
153,5,2544,장한평,2301,988937
154,5,2545,군자(5),2301,652659
155,5,2546,아차산,2301,773671
156,5,2547,광나루,2301,697332
157,5,2548,천호(5),2301,1026089
158,5,2549,강동,2301,970185
159,5,2550,길동,2301,445367
160,5,2551,굽은다리,2301,513634
161,5,2552,명일,2301,475584
162,5,2553,고덕,2301,506970
163,5,2554,상일동,2301,751203
164,5,2555,둔촌동,2301,461567
165,5,2556,올림픽공원(5),2301,224600
166,5,2557,방이,2301,396927
167,5,2558,오금(5),2301,182124
168,5,2559,개롱,2301,338403
169,5,2560,거여,2301,518027
170,5,2561,마천,2301,385426
171,5,2562,강일,2301,265923
172,5,2563,미사,2301,932226
173,5,2564,하남풍산,2301,234418
174,5,2565,하남시청,2301,400875
