연번,호선,고유역번호,역명,위도,경도,region_1depth_name,region_2depth_name,region_3depth_name,region_code
1,1,150,서울,37.55315,126.972533,서울특별시,용산구,남영동,11170530
2,1,151,시청,37.56359,126.975407,서울특별시,중구,소공동,11140520
3,1,152,종각,37.570203,126.983116,서울특별시,종로구,종로1.2.3.4가동,11110615
4,1,153,종로3가,37.570429,126.992095,서울특별시,종로구,종로1.2.3.4가동,11110615
5,1,154,종로5가,37.570971,127.0019,서울특별시,종로구,종로5.6가동,11110630
6,1,155,동대문,37.57179,127.011383,서울특별시,종로구,창신1동,11110670
7,1,159,동묘앞,37.573265,127.016459,서울특별시,종로구,숭인1동,11110700
8,1,156,신설동,37.576117,127.02471,서울특별시,동대문구,용신동,11230536
9,1,157,제기동,37.578116,127.034902,서울특별시,동대문구,용신동,11230536
10,1,158,청량리,37.580148,127.045063,서울특별시,동대문구,전농1동,11230560
11,2,202,을지로입구,37.565998,126.982569,서울특별시,중구,명동,11140550
12,2,203,을지로3가,37.566292,126.991773,서울특별시,중구,을지로동,11140605
13,2,204,을지로4가,37.566611,126.998122,서울특별시,중구,을지로동,11140605
14,2,205,동대문역사문화공원,37.565597,127.009113,서울특별시,중구,광희동,11140590
15,2,206,신당,37.565681,127.019488,서울특별시,중구,황학동,11140670
16,2,207,상왕십리,37.564504,127.028872,서울특별시,성동구,왕십리2동,11200520
17,2,208,왕십리,37.561159,127.035505,서울특별시,성동구,행당1동,11200560
18,2,209,한양대,37.55658,127.043504,서울특별시,성동구,사근동,11200550
19,2,210,뚝섬,37.54718,127.047413,서울특별시,성동구,성수1가2동,11200660
20,2,211,성수,37.544628,127.055983,서울특별시,성동구,성수2가3동,11200690
21,2,212,건대입구,37.540408,127.069231,서울특별시,광진구,화양동,11215710
22,2,213,구의,37.536857,127.085024,서울특별시,광진구,자양2동,11215830
23,2,214,강변,37.535161,127.094684,서울특별시,광진구,구의3동,11215870
24,2,215,잠실나루,37.520688,127.103836,서울특별시,송파구,잠실6동,11710710
25,2,216,잠실,37.513305,127.100129,서울특별시,송파구,잠실6동,11710710
26,2,217,잠실새내,37.520731,127.103738,서울특별시,송파구,잠실6동,11710710
